,id,type,date,from,from_id,text,file,thumbnail,media_type,sticker_emoji,width,height,reply_to_message_id,scores
0,1112,message,2021-11-25T14:18:40,Valentina Feruere,user2103253168,Hola,,,,,,,,0.4707479476928711
1,1113,message,2021-11-25T14:18:50,Valentina Feruere,user2103253168,Por aquÃ­ ya me puedes dejar tus credenciales,,,,,,,,0.4994649589061737
2,1114,message,2021-11-25T14:20:00,Fernan,user678433253,mis credenciales de fuyr?,,,,,,,,0.49941566586494446
3,1115,message,2021-11-25T14:20:04,Fernan,user678433253,fury?,,,,,,,,0.49484047293663025
4,1116,message,2021-11-25T14:20:16,Fernan,user678433253,no se si es tan facil,,,,,,,,0.4198923707008362
5,1117,message,2021-11-25T14:53:11,Valentina Feruere,user2103253168,TÃº me debes muchas cosas,,,,,,,,0.30355018377304077
6,1118,message,2021-11-25T14:53:17,Valentina Feruere,user2103253168,Con tus credenciales estamos a mano,,,,,,,,0.49616876244544983
7,1119,message,2021-11-25T15:03:04,Fernan,user678433253,que te debo?,,,,,,,,0.31549909710884094
8,1120,message,2021-11-25T15:03:24,Fernan,user678433253,"creo que te estas confundiendo, vos me debes a mi",,,,,,,,0.4307570159435272
9,1121,message,2021-11-25T15:09:32,Valentina Feruere,user2103253168,"No, no",,,,,,,,0.3761427700519562
10,1122,message,2021-11-25T15:09:37,Valentina Feruere,user2103253168,No estoy confundida,,,,,,,,0.4538329243659973
11,1123,message,2021-11-25T15:11:24,Fernan,user678433253,"entonces, que te debo?",,,,,,,,0.48600563406944275
12,1124,message,2021-11-25T15:11:46,Fernan,user678433253,no me gusta deberle nada a nadie,,,,,,,,0.009966212511062623
13,1125,message,2021-11-25T15:11:46,Fernan,user678433253,jaja,,,,,,,,0.9789403134584427
14,1126,message,2021-11-25T15:16:22,Valentina Feruere,user2103253168,ğŸ˜²,,,,,,,,0.24376961588859558
15,1127,message,2021-11-25T15:16:29,Valentina Feruere,user2103253168,Venir a Colombia,,,,,,,,0.4971464276313782
16,1128,message,2021-11-25T15:16:36,Valentina Feruere,user2103253168,,(File not included. Change data exporting settings to download.),(File not included. Change data exporting settings to download.),sticker,ğŸ˜Œ,512.0,512.0,,0.7
17,1129,message,2021-11-25T15:17:08,Valentina Feruere,user2103253168,Y una cerveza,,,,,,,,0.48993292450904846
18,1130,message,2021-11-25T15:19:15,Fernan,user678433253,"jajaja no se, no recuedo haber asumido esas duedas",,,,,,,,0.009796324372291566
19,1131,message,2021-11-25T15:19:33,Fernan,user678433253,"la ceverza te la acepto, cuando nos vemos te la invito",,,,,,,,0.8571633249521255
20,1132,message,2021-11-25T15:39:45,Valentina Feruere,user2103253168,How dare you,,,,,,,1130.0,0.5010508596897125
21,1133,message,2021-11-25T15:40:04,Valentina Feruere,user2103253168,"Bueno, una deuda menos",,,,,,,1131.0,0.4992354214191437
